date	weight
20.05.2022	94.4
21.05.2022	93
22.05.2022	93.4
23.05.2022	93.4
24.05.2022	93.1
25.05.2022	92.6
26.05.2022	92.3
27.05.2022	92.3
28.05.2022	92.6
29.05.2022	92.6
30.05.2022	92.3
31.05.2022	92.3
01.06.2022	91.9
02.06.2022	92.1
03.06.2022	92.3
04.06.2022	91.6
05.06.2022	91.1
06.06.2022	90.9
07.06.2022	90.4
08.06.2022	90.9
09.06.2022	90.5
10.06.2022	90.8
11.06.2022	90.8
12.06.2022	90.2
13.06.2022	90
14.06.2022	90
15.06.2022	90.3
16.06.2022	89.6
17.06.2022	89.6
18.06.2022	89.9
19.06.2022	89.3
20.06.2022	89.4
21.06.2022	89.5
22.06.2022	89.5
23.06.2022	88.9
24.06.2022	89.2
25.06.2022	89.2
26.06.2022	89.3
27.06.2022	88.6
28.06.2022	88.6
29.06.2022	88.6
30.06.2022	89.2
01.07.2022	88
02.07.2022	87.8
03.07.2022	88
04.07.2022	87.8
05.07.2022	87.6
06.07.2022	87.7
07.07.2022	87.2
08.07.2022	87.2
09.07.2022	87.1
10.07.2022	87.1
11.07.2022	86.8
12.07.2022	86.4
13.07.2022	86.1
14.07.2022	86.1
15.07.2022	86.3
16.07.2022	85.9
17.07.2022	85.9
18.07.2022	85.7
19.07.2022	85.7
20.07.2022	85.3
21.07.2022	85.3
22.07.2022	85.3
23.07.2022	85.3
24.07.2022	85.3
25.07.2022	85.7
26.07.2022	85.6
27.07.2022	85.5
28.07.2022	85.9
29.07.2022	85.6
30.07.2022	85.5
31.07.2022	84.7
01.08.2022	84.9
02.08.2022	84.5
03.08.2022	84.5
04.08.2022	84.4
05.08.2022	84.4
06.08.2022	84.1
07.08.2022	84.1
08.08.2022	83.6
09.08.2022	83.5
10.08.2022	83.5
11.08.2022	83.2
12.08.2022	83.3
13.08.2022	83.7
14.08.2022	83.4
15.08.2022	83.4
16.08.2022	82.9
17.08.2022	82.5
18.08.2022	82.5
19.08.2022	82
20.08.2022	82.6
